precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.06,1.0,0.11,0.28,3.94,3.94,3.94
0.12,1.0,0.21,0.51,2.72,3.33,3.33
0.02,1.0,0.04,1.0,5.5,4.06,3.94
0.02,0.33,0.04,0.04,2.69,3.71,3.33
0.08,1.0,0.15,0.62,4.0,3.77,3.94
0.02,1.0,0.04,1.0,2.52,3.56,3.33
0.08,1.0,0.15,1.0,6.88,4.04,3.94
0.02,1.0,0.04,1.0,2.37,3.83,3.33
0.02,1.0,0.04,1.0,3.59,3.8,3.59
0.1,0.83,0.18,0.87,3.15,3.74,3.37
0.36,0.82,0.5,0.95,1.49,3.53,3.15
0.04,0.67,0.08,0.11,2.0,3.4,2.94
0.04,1.0,0.08,1.0,6.75,3.66,3.15
0.02,1.0,0.04,1.0,1.86,3.53,2.94
0.12,0.86,0.21,0.54,3.16,3.51,3.15
0.12,1.0,0.21,0.92,1.94,3.41,2.94
0.02,1.0,0.04,1.0,1.93,3.32,2.72
0.02,1.0,0.04,1.0,6.83,3.52,2.94
0.02,0.5,0.04,0.04,3.67,3.53,3.15
0.3,1.0,0.46,0.9,3.3,3.51,3.16
0.28,1.0,0.44,0.95,0.39,3.37,3.15
0.06,1.0,0.11,0.61,0.58,3.24,2.94
0.26,1.0,0.41,0.96,3.34,3.24,3.15
0.04,1.0,0.08,1.0,8.28,3.45,3.16
0.04,1.0,0.08,0.59,6.28,3.57,3.16
0.16,0.89,0.27,0.61,4.73,3.61,3.23
0.04,1.0,0.08,1.0,3.03,3.59,3.16
0.0,0.0,0.0,0.0,0.72,3.49,3.16
0.04,1.0,0.08,1.0,2.64,3.46,3.15
0.02,0.5,0.04,0.1,4.47,3.49,3.16
0.4,0.95,0.56,0.88,4.19,3.51,3.16
0.04,1.0,0.08,1.0,2.16,3.47,3.16
0.0,0.0,0.0,0.0,2.77,3.45,3.15
0.02,1.0,0.04,1.0,11.12,3.68,3.16
0.16,1.0,0.28,1.0,0.71,3.59,3.15
0.28,1.0,0.44,1.0,5.72,3.65,3.16
0.04,1.0,0.08,1.0,3.81,3.65,3.16
0.02,1.0,0.04,1.0,5.89,3.71,3.23
0.12,1.0,0.21,0.98,5.83,3.77,3.3
0.5,1.0,0.67,0.5,2.0,3.72,3.23
0.28,0.64,0.39,0.65,1.82,3.68,3.16
0.1,1.0,0.18,1.0,7.02,3.76,3.23
0.02,1.0,0.04,1.0,1.61,3.71,3.16
0.02,1.0,0.04,1.0,2.9,3.69,3.16
0.02,1.0,0.04,0.2,1.19,3.63,3.15
0.02,1.0,0.04,1.0,2.12,3.6,3.09
0.1,1.0,0.18,0.29,3.18,3.59,3.15
0.0,0.0,0.0,0.0,1.32,3.54,3.09
0.16,1.0,0.28,1.0,3.81,3.55,3.15
0.06,1.0,0.11,0.81,3.07,3.54,3.11
0.02,0.33,0.04,0.2,4.98,3.57,3.15
0.1,1.0,0.18,0.64,3.55,3.57,3.16
0.0,0.0,0.0,0.0,3.23,3.56,3.16
0.24,1.0,0.39,1.0,0.22,3.5,3.16
0.1,1.0,0.18,0.27,2.12,3.47,3.15
0.16,0.89,0.27,0.88,0.21,3.42,3.11
0.02,1.0,0.04,1.0,1.06,3.37,3.07
0.04,1.0,0.08,1.0,1.74,3.35,3.05
0.0,0.0,0.0,0.0,3.02,3.34,3.03
0.06,1.0,0.11,0.81,0.98,3.3,3.03
0.14,1.0,0.25,0.52,0.6,3.26,3.02
0.02,1.0,0.04,0.5,2.4,3.24,2.96
0.04,0.67,0.08,0.04,3.54,3.25,3.02
0.0,0.0,0.0,0.0,2.73,3.24,2.96
0.14,0.88,0.24,0.5,3.1,3.24,3.02
0.1,0.83,0.18,0.65,0.9,3.2,2.96
0.02,0.33,0.04,0.02,2.73,3.2,2.9
0.16,0.8,0.27,0.89,1.23,3.17,2.83
0.02,1.0,0.04,1.0,2.24,3.15,2.77
0.02,1.0,0.04,1.0,1.01,3.12,2.75
0.16,0.89,0.27,0.56,1.02,3.09,2.73
0.06,0.75,0.11,0.26,2.98,3.09,2.75
0.02,1.0,0.04,1.0,4.21,3.11,2.77
0.02,1.0,0.04,1.0,1.61,3.09,2.75
0.02,0.25,0.04,0.02,1.75,3.07,2.73
0.02,1.0,0.04,1.0,0.56,3.04,2.73
0.04,0.67,0.08,1.0,2.36,3.03,2.73
0.02,1.0,0.04,1.0,0.44,2.99,2.73
0.06,1.0,0.11,0.32,2.79,2.99,2.73
0.02,1.0,0.04,0.03,5.54,3.02,2.73
0.06,1.0,0.11,1.0,1.52,3.0,2.73
0.06,0.43,0.11,0.44,3.19,3.01,2.73
0.0,0.0,0.0,0.0,2.6,3.0,2.73
0.06,0.75,0.11,0.92,2.1,2.99,2.73
0.02,0.33,0.04,0.02,1.1,2.97,2.72
0.02,1.0,0.04,1.0,2.46,2.96,2.7
0.02,0.33,0.04,1.0,2.13,2.95,2.69
0.02,0.25,0.04,0.04,2.14,2.94,2.66
0.12,1.0,0.21,0.24,1.36,2.93,2.64
0.02,1.0,0.04,1.0,0.05,2.89,2.62
0.02,1.0,0.04,0.05,0.28,2.87,2.6
0.1,1.0,0.18,0.31,0.79,2.84,2.56
0.14,1.0,0.25,0.98,3.81,2.85,2.6
0.18,1.0,0.31,0.98,1.28,2.84,2.56
0.02,1.0,0.04,1.0,6.04,2.87,2.6
0.02,1.0,0.04,0.12,1.27,2.85,2.56
0.0,0.0,0.0,0.0,1.9,2.84,2.52
0.04,1.0,0.08,0.06,1.64,2.83,2.49
0.1,1.0,0.18,0.59,1.32,2.82,2.46
0.32,0.94,0.48,0.84,4.73,2.84,2.49
