precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.3,1.0,0.46,0.83,3.86,3.86,3.86
0.6,1.0,0.75,0.83,2.76,3.31,3.31
0.1,1.0,0.18,1.0,6.46,4.36,3.86
0.3,1.0,0.46,0.36,3.27,4.09,3.57
0.4,1.0,0.57,0.73,4.59,4.19,3.86
0.1,1.0,0.18,1.0,3.0,3.99,3.57
0.4,1.0,0.57,1.0,7.27,4.46,3.86
0.1,1.0,0.18,0.5,2.61,4.23,3.57
0.1,1.0,0.18,1.0,3.53,4.15,3.53
0.6,1.0,0.75,0.93,3.32,4.07,3.42
0.9,0.41,0.56,0.99,1.61,3.84,3.32
0.1,0.33,0.15,0.12,2.29,3.71,3.29
0.2,1.0,0.33,1.0,8.68,4.1,3.32
0.1,1.0,0.18,1.0,1.82,3.93,3.29
0.6,0.86,0.71,0.44,3.51,3.9,3.32
0.6,1.0,0.75,1.0,2.03,3.79,3.29
0.1,1.0,0.18,1.0,2.55,3.71,3.27
0.1,1.0,0.18,1.0,6.73,3.88,3.29
0.1,0.5,0.17,0.12,3.56,3.87,3.32
1.0,0.67,0.8,1.0,3.18,3.83,3.29
1.0,0.71,0.83,1.0,0.46,3.67,3.27
0.3,1.0,0.46,0.46,0.61,3.53,3.23
0.9,0.69,0.78,0.96,3.25,3.52,3.25
0.2,1.0,0.33,1.0,8.19,3.71,3.26
0.2,1.0,0.33,0.7,6.25,3.82,3.27
0.3,0.33,0.32,0.59,4.45,3.84,3.29
0.2,1.0,0.33,1.0,2.79,3.8,3.27
0.0,0.0,0.0,0.0,0.67,3.69,3.26
0.2,1.0,0.33,0.83,2.55,3.65,3.25
0.2,1.0,0.33,1.0,4.19,3.67,3.26
1.0,0.48,0.65,1.0,4.05,3.68,3.27
0.2,1.0,0.33,1.0,2.14,3.63,3.26
0.0,0.0,0.0,0.0,2.53,3.6,3.25
0.1,1.0,0.18,1.0,10.77,3.81,3.26
0.8,1.0,0.89,1.0,0.67,3.72,3.25
1.0,0.71,0.83,1.0,5.53,3.77,3.26
0.2,1.0,0.33,1.0,3.64,3.77,3.27
0.1,1.0,0.18,1.0,5.84,3.82,3.29
0.6,1.0,0.75,1.0,5.6,3.87,3.32
0.5,1.0,0.67,1.0,1.89,3.82,3.29
0.8,0.36,0.5,0.93,1.84,3.77,3.27
0.5,1.0,0.67,1.0,6.59,3.84,3.29
0.1,1.0,0.18,1.0,1.45,3.78,3.27
0.1,1.0,0.18,1.0,2.69,3.76,3.26
0.1,1.0,0.18,1.0,1.13,3.7,3.25
0.1,1.0,0.18,1.0,2.03,3.66,3.22
0.4,0.8,0.53,0.37,2.9,3.65,3.18
0.0,0.0,0.0,0.0,0.99,3.59,3.09
0.7,0.88,0.78,0.92,3.65,3.59,3.18
0.3,1.0,0.46,1.0,2.89,3.58,3.09
0.0,0.0,0.0,0.0,4.38,3.59,3.18
0.3,0.6,0.4,0.81,3.32,3.59,3.22
0.0,0.0,0.0,0.0,3.33,3.58,3.25
1.0,0.83,0.91,1.0,0.23,3.52,3.22
0.5,1.0,0.67,0.88,2.29,3.5,3.18
0.8,0.89,0.84,1.0,0.2,3.44,3.09
0.1,1.0,0.18,1.0,0.92,3.4,3.0
0.2,1.0,0.33,1.0,1.8,3.37,2.95
0.0,0.0,0.0,0.0,3.17,3.36,3.0
0.3,1.0,0.46,1.0,1.05,3.33,2.95
0.7,1.0,0.82,1.0,0.67,3.28,2.9
0.1,1.0,0.18,1.0,2.72,3.27,2.9
0.2,0.67,0.31,0.27,2.91,3.27,2.9
0.0,0.0,0.0,0.0,2.62,3.26,2.9
0.4,0.5,0.44,0.53,2.95,3.25,2.9
0.5,0.83,0.62,0.94,0.99,3.22,2.9
0.0,0.0,0.0,0.0,2.81,3.21,2.89
0.7,0.7,0.7,0.96,1.1,3.18,2.85
0.1,1.0,0.18,0.2,2.27,3.17,2.81
0.1,1.0,0.18,0.5,1.03,3.14,2.8
0.7,0.78,0.74,0.72,0.87,3.11,2.79
0.3,0.75,0.43,0.92,2.78,3.1,2.78
0.1,1.0,0.18,1.0,4.01,3.11,2.79
0.1,1.0,0.18,1.0,1.56,3.09,2.78
0.0,0.0,0.0,0.0,1.63,3.07,2.78
