precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.02,0.67,0.04,0.03,8.52,8.52,8.52
0.03,0.5,0.06,0.14,5.22,6.87,6.87
0.01,1.0,0.02,0.5,19.16,10.97,8.52
0.0,0.0,0.0,0.0,10.95,10.97,9.74
0.04,1.0,0.08,0.38,8.42,10.46,8.52
0.01,1.0,0.02,1.0,5.44,9.62,8.47
0.04,1.0,0.08,0.89,17.61,10.76,8.52
0.01,1.0,0.02,1.0,1.97,9.66,8.47
0.01,1.0,0.02,1.0,9.66,9.66,8.52
0.05,0.83,0.09,0.59,10.22,9.72,9.09
0.18,0.82,0.3,0.67,4.29,9.22,8.52
0.0,0.0,0.0,0.0,5.39,8.9,8.47
0.02,1.0,0.04,1.0,14.14,9.31,8.52
0.01,1.0,0.02,1.0,10.2,9.37,9.09
0.06,0.86,0.11,0.11,2.48,8.91,8.52
0.06,1.0,0.11,0.67,3.79,8.59,8.47
0.01,1.0,0.02,1.0,3.44,8.29,8.42
0.01,1.0,0.02,1.0,12.11,8.5,8.47
0.0,0.0,0.0,0.0,10.64,8.61,8.52
0.15,1.0,0.26,0.7,7.43,8.55,8.47
0.14,1.0,0.25,0.9,3.33,8.31,8.42
0.03,1.0,0.06,0.16,2.76,8.05,7.93
0.13,1.0,0.23,0.7,4.32,7.89,7.43
0.02,1.0,0.04,0.24,20.73,8.43,7.93
0.02,1.0,0.04,0.51,9.32,8.46,8.42
0.06,0.67,0.11,0.45,6.49,8.39,7.93
0.02,1.0,0.04,1.0,7.31,8.35,7.43
0.0,0.0,0.0,0.0,6.04,8.26,7.37
0.02,1.0,0.04,1.0,10.3,8.33,7.43
0.01,0.5,0.02,0.01,9.48,8.37,7.93
0.2,0.95,0.33,0.75,7.32,8.34,7.43
0.02,1.0,0.04,0.38,2.54,8.16,7.38
0.0,0.0,0.0,0.0,5.82,8.09,7.32
0.01,1.0,0.02,1.0,21.06,8.47,7.38
0.08,1.0,0.15,0.81,3.31,8.32,7.32
0.14,1.0,0.25,0.77,10.57,8.38,7.38
0.02,1.0,0.04,1.0,8.13,8.38,7.43
0.01,1.0,0.02,1.0,11.27,8.45,7.78
0.06,1.0,0.11,0.79,13.88,8.59,8.13
0.2,1.0,0.33,0.5,1.94,8.43,7.78
0.16,0.73,0.26,0.57,4.78,8.34,7.43
0.05,1.0,0.1,0.69,16.01,8.52,7.78
0.01,1.0,0.02,1.0,1.49,8.36,7.43
0.01,1.0,0.02,0.33,6.83,8.32,7.38
0.01,1.0,0.02,0.06,4.32,8.23,7.32
0.01,1.0,0.02,1.0,9.99,8.27,7.38
0.02,0.4,0.04,0.02,9.03,8.29,7.43
0.0,0.0,0.0,0.0,3.09,8.18,7.38
0.08,1.0,0.15,0.61,6.27,8.14,7.32
0.03,1.0,0.06,0.27,12.78,8.23,7.38
0.01,0.33,0.02,0.02,8.84,8.24,7.43
0.03,0.6,0.06,0.36,4.41,8.17,7.38
0.0,0.0,0.0,0.0,9.55,8.2,7.43
0.12,1.0,0.21,0.6,1.97,8.08,7.38
0.02,0.4,0.04,0.05,2.95,7.99,7.32
