precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.3,1.0,0.46,0.83,4.18,4.18,4.18
0.6,1.0,0.75,0.83,2.63,3.41,3.41
0.1,1.0,0.18,1.0,5.3,4.04,4.18
0.3,1.0,0.46,0.92,2.74,3.71,3.46
0.4,1.0,0.57,0.73,4.41,3.85,4.18
0.1,1.0,0.18,1.0,2.54,3.63,3.46
0.4,1.0,0.57,1.0,7.16,4.14,4.18
0.1,1.0,0.18,0.5,2.27,3.9,3.46
0.1,1.0,0.18,1.0,3.57,3.87,3.57
0.6,1.0,0.75,0.93,3.28,3.81,3.42
0.9,0.41,0.56,0.99,1.32,3.58,3.28
0.3,1.0,0.46,0.54,1.8,3.43,3.01
0.2,1.0,0.33,1.0,6.84,3.7,3.28
0.1,1.0,0.18,1.0,1.66,3.55,3.01
0.7,1.0,0.82,1.0,3.03,3.52,3.03
0.6,1.0,0.75,1.0,2.03,3.42,2.89
0.1,1.0,0.18,1.0,2.04,3.34,2.74
0.1,1.0,0.18,1.0,6.84,3.54,2.89
0.2,1.0,0.33,0.83,3.66,3.54,3.03
0.4,0.27,0.32,0.62,3.11,3.52,3.07
0.1,0.07,0.08,1.0,0.47,3.38,3.03
0.3,1.0,0.46,0.46,0.59,3.25,2.89
0.9,0.69,0.78,0.96,3.37,3.25,3.03
0.2,1.0,0.33,1.0,8.35,3.47,3.07
0.2,1.0,0.33,0.7,6.53,3.59,3.11
0.3,0.33,0.32,0.59,4.78,3.63,3.2
0.2,1.0,0.33,1.0,3.1,3.61,3.11
0.0,0.0,0.0,0.0,0.68,3.51,3.11
0.2,1.0,0.33,0.83,2.52,3.48,3.1
0.2,1.0,0.33,1.0,4.51,3.51,3.11
1.0,0.48,0.65,1.0,4.17,3.53,3.11
0.2,1.0,0.33,1.0,2.06,3.49,3.11
0.0,0.0,0.0,0.0,2.8,3.47,3.1
0.1,1.0,0.18,1.0,11.86,3.71,3.11
0.8,1.0,0.89,1.0,0.75,3.63,3.1
1.0,0.71,0.83,1.0,5.85,3.69,3.11
0.2,1.0,0.33,1.0,4.2,3.7,3.11
0.1,1.0,0.18,1.0,5.81,3.76,3.2
0.6,1.0,0.75,1.0,6.36,3.82,3.28
0.5,1.0,0.67,1.0,1.9,3.78,3.2
1.0,0.45,0.62,1.0,1.7,3.73,3.11
0.5,1.0,0.67,1.0,7.16,3.81,3.2
0.1,1.0,0.18,1.0,1.56,3.76,3.11
0.1,1.0,0.18,1.0,2.67,3.73,3.11
0.1,1.0,0.18,1.0,1.21,3.68,3.1
0.1,1.0,0.18,1.0,2.36,3.65,3.07
0.4,0.8,0.53,0.37,2.8,3.63,3.03
0.4,1.0,0.57,0.89,1.0,3.57,2.92
0.7,0.88,0.78,0.92,3.59,3.57,3.03
0.3,1.0,0.46,1.0,3.38,3.57,3.07
0.1,0.33,0.15,0.33,4.76,3.59,3.1
0.3,0.6,0.4,0.81,3.51,3.59,3.11
0.1,0.33,0.15,0.5,3.16,3.58,3.11
1.0,0.83,0.91,1.0,0.23,3.52,3.11
0.5,1.0,0.67,0.88,2.14,3.5,3.1
0.8,0.89,0.84,1.0,0.19,3.44,3.07
0.1,1.0,0.18,1.0,0.93,3.39,3.03
0.2,1.0,0.33,1.0,1.93,3.37,2.92
0.0,0.0,0.0,0.0,3.55,3.37,3.03
0.3,1.0,0.46,1.0,0.96,3.33,2.92
0.7,1.0,0.82,1.0,0.63,3.29,2.8
0.1,1.0,0.18,1.0,2.62,3.28,2.8
0.2,0.67,0.31,0.27,3.02,3.27,2.8
0.0,0.0,0.0,0.0,2.58,3.26,2.8
0.4,0.5,0.44,0.53,2.83,3.25,2.8
0.5,0.83,0.62,0.94,0.85,3.22,2.8
0.0,0.0,0.0,0.0,2.89,3.21,2.8
0.7,0.7,0.7,0.96,1.11,3.18,2.8
0.1,1.0,0.18,0.2,2.55,3.17,2.8
0.1,1.0,0.18,0.5,0.96,3.14,2.77
0.7,0.78,0.74,0.6,0.86,3.11,2.74
0.3,0.75,0.43,0.92,2.88,3.11,2.77
0.1,1.0,0.18,1.0,4.31,3.12,2.8
0.1,1.0,0.18,1.0,1.78,3.1,2.77
0.4,1.0,0.57,1.0,1.45,3.08,2.74
0.1,1.0,0.18,1.0,0.47,3.05,2.7
0.2,0.67,0.31,1.0,2.9,3.05,2.74
0.1,1.0,0.18,1.0,0.54,3.01,2.7
0.3,1.0,0.46,0.4,2.87,3.01,2.74
0.1,1.0,0.18,0.17,5.47,3.04,2.77
0.3,1.0,0.46,0.92,1.93,3.03,2.74
0.2,0.29,0.24,0.42,3.09,3.03,2.77
0.5,1.0,0.67,1.0,2.7,3.03,2.74
0.3,0.75,0.43,1.0,1.85,3.01,2.72
0.0,0.0,0.0,0.0,1.27,2.99,2.7
0.1,1.0,0.18,1.0,2.7,2.99,2.7
0.1,0.33,0.15,0.12,1.98,2.98,2.7
0.3,0.75,0.43,0.78,2.15,2.97,2.68
0.2,0.33,0.25,0.25,1.19,2.95,2.67
0.1,1.0,0.18,1.0,0.05,2.91,2.65
0.1,1.0,0.18,0.17,0.28,2.89,2.63
0.2,0.4,0.27,0.25,0.68,2.86,2.63
0.7,1.0,0.82,1.0,5.52,2.89,2.63
0.1,0.11,0.11,1.0,1.21,2.87,2.63
0.1,1.0,0.18,0.25,6.32,2.91,2.63
0.0,0.0,0.0,0.0,1.43,2.89,2.63
0.0,0.0,0.0,0.0,1.88,2.88,2.62
0.0,0.0,0.0,0.0,1.56,2.87,2.6
0.5,1.0,0.67,0.76,1.18,2.85,2.58
0.6,0.35,0.44,0.92,5.37,2.88,2.6
