precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.06,1.0,0.11,0.83,3.41,3.41,3.41
0.12,1.0,0.21,0.83,2.59,3.0,3.0
0.02,1.0,0.04,1.0,5.28,3.76,3.41
0.06,1.0,0.11,0.92,2.6,3.47,3.01
0.08,1.0,0.15,0.73,3.72,3.52,3.41
0.02,1.0,0.04,1.0,2.36,3.33,3.01
0.08,1.0,0.15,1.0,5.69,3.66,3.41
0.02,1.0,0.04,0.5,2.1,3.47,3.01
0.02,1.0,0.04,1.0,2.96,3.41,2.96
0.12,1.0,0.21,0.93,2.67,3.34,2.81
0.36,0.82,0.5,0.95,1.3,3.15,2.67
0.06,1.0,0.11,0.54,1.69,3.03,2.64
0.04,1.0,0.08,1.0,5.46,3.22,2.67
0.02,1.0,0.04,1.0,1.58,3.1,2.64
0.14,1.0,0.25,1.0,2.57,3.07,2.6
0.12,1.0,0.21,1.0,1.77,2.98,2.59
0.02,1.0,0.04,1.0,1.77,2.91,2.59
0.02,1.0,0.04,1.0,5.73,3.07,2.59
0.04,1.0,0.08,0.83,3.09,3.07,2.6
0.08,0.27,0.12,0.62,2.8,3.06,2.64
0.28,1.0,0.44,0.37,0.38,2.93,2.6
0.06,1.0,0.11,0.46,0.51,2.82,2.59
0.26,1.0,0.41,0.95,2.81,2.82,2.6
0.04,1.0,0.08,1.0,6.91,2.99,2.64
0.04,1.0,0.08,0.7,5.51,3.09,2.67
0.06,0.33,0.1,0.59,3.95,3.12,2.74
0.04,1.0,0.08,1.0,2.6,3.1,2.67
0.0,0.0,0.0,0.0,0.61,3.01,2.64
0.04,1.0,0.08,0.83,2.39,2.99,2.6
0.04,1.0,0.08,1.0,3.62,3.01,2.64
0.38,0.9,0.54,1.0,3.6,3.03,2.67
0.04,1.0,0.08,1.0,2.04,3.0,2.64
0.0,0.0,0.0,0.0,2.4,2.98,2.6
0.02,1.0,0.04,1.0,9.88,3.19,2.64
0.16,1.0,0.28,1.0,0.65,3.11,2.6
0.28,1.0,0.44,1.0,5.1,3.17,2.64
0.04,1.0,0.08,1.0,3.31,3.17,2.67
0.02,1.0,0.04,1.0,5.26,3.23,2.74
0.12,1.0,0.21,1.0,5.08,3.27,2.8
0.5,1.0,0.67,1.0,1.74,3.24,2.74
0.44,1.0,0.61,0.99,1.67,3.2,2.67
0.1,1.0,0.18,1.0,6.07,3.27,2.74
0.02,1.0,0.04,1.0,1.38,3.22,2.67
0.02,1.0,0.04,1.0,2.47,3.21,2.64
0.02,1.0,0.04,1.0,1.06,3.16,2.6
0.02,1.0,0.04,1.0,1.96,3.13,2.6
0.1,1.0,0.18,0.33,3.33,3.14,2.6
0.08,1.0,0.15,0.89,1.08,3.09,2.6
0.16,1.0,0.28,0.9,3.89,3.11,2.6
0.06,1.0,0.11,1.0,3.15,3.11,2.64
0.06,1.0,0.11,0.21,4.93,3.15,2.67
0.06,0.6,0.11,0.81,3.5,3.15,2.74
0.02,0.33,0.04,0.5,3.17,3.15,2.8
0.24,1.0,0.39,1.0,0.24,3.1,2.74
0.1,1.0,0.18,0.88,2.29,3.08,2.67
0.16,0.89,0.27,1.0,0.2,3.03,2.64
0.02,1.0,0.04,1.0,1.01,3.0,2.6
0.04,1.0,0.08,1.0,1.96,2.98,2.6
0.0,0.0,0.0,0.0,3.17,2.98,2.6
0.06,1.0,0.11,1.0,1.09,2.95,2.6
0.14,1.0,0.25,1.0,0.76,2.92,2.6
0.02,1.0,0.04,1.0,2.95,2.92,2.6
0.06,1.0,0.11,0.2,3.09,2.92,2.6
0.02,1.0,0.04,0.05,2.35,2.91,2.6
0.12,0.75,0.21,0.49,2.9,2.91,2.6
0.1,0.83,0.18,0.94,1.16,2.88,2.6
0.0,0.0,0.0,0.0,3.06,2.89,2.6
0.14,0.7,0.23,0.96,1.18,2.86,2.6
0.02,1.0,0.04,0.2,2.49,2.86,2.6
0.02,1.0,0.04,0.5,1.1,2.83,2.59
0.18,1.0,0.31,0.63,1.33,2.81,2.59
0.08,1.0,0.15,0.74,3.95,2.82,2.59
0.02,1.0,0.04,1.0,4.26,2.84,2.6
0.02,1.0,0.04,1.0,1.93,2.83,2.59
0.08,1.0,0.15,1.0,2.05,2.82,2.59
0.02,1.0,0.04,1.0,0.6,2.79,2.58
0.04,0.67,0.08,1.0,2.46,2.79,2.57
0.02,1.0,0.04,1.0,0.46,2.76,2.53
0.06,1.0,0.11,0.4,2.66,2.76,2.57
0.02,1.0,0.04,0.17,6.11,2.8,2.58
0.06,1.0,0.11,0.92,1.64,2.79,2.57
0.06,0.43,0.11,0.31,2.9,2.79,2.58
0.1,1.0,0.18,1.0,3.24,2.79,2.59
0.06,0.75,0.11,1.0,2.32,2.79,2.58
0.04,0.67,0.08,0.03,1.19,2.77,2.57
0.02,1.0,0.04,1.0,2.59,2.77,2.58
0.02,0.33,0.04,0.12,2.22,2.76,2.57
0.08,1.0,0.15,0.67,2.45,2.76,2.53
0.12,1.0,0.21,0.25,1.57,2.74,2.49
0.02,1.0,0.04,1.0,0.06,2.71,2.48
0.02,1.0,0.04,0.17,0.3,2.69,2.47
