precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.2,0.67,0.31,1.0,10.88,10.88,10.88
0.4,0.67,0.5,0.77,7.1,8.99,8.99
0.1,1.0,0.18,1.0,29.33,15.77,10.88
0.0,0.0,0.0,0.0,15.25,15.64,13.07
0.2,0.5,0.29,0.61,10.57,14.63,10.88
0.1,1.0,0.18,1.0,6.87,13.33,10.72
0.4,1.0,0.57,1.0,29.64,15.66,10.88
0.1,1.0,0.18,0.33,2.49,14.02,10.72
0.1,1.0,0.18,1.0,12.68,13.87,10.88
0.5,0.83,0.62,0.83,12.78,13.76,11.78
0.8,0.36,0.5,0.9,6.39,13.09,10.88
0.0,0.0,0.0,0.0,8.48,12.7,10.72
0.2,1.0,0.33,1.0,18.77,13.17,10.88
0.1,1.0,0.18,1.0,13.22,13.17,11.78
0.0,0.0,0.0,0.0,2.93,12.49,10.88
0.6,1.0,0.75,0.98,5.21,12.04,10.72
0.1,1.0,0.18,1.0,4.56,11.6,10.57
0.1,1.0,0.18,1.0,15.97,11.84,10.72
0.0,0.0,0.0,0.0,14.07,11.96,10.88
0.7,0.47,0.56,0.76,9.72,11.85,10.72
0.9,0.64,0.75,0.93,4.56,11.5,10.57
0.0,0.0,0.0,0.0,3.51,11.14,10.14
0.5,0.38,0.43,0.62,5.58,10.89,9.72
0.2,1.0,0.33,1.0,27.14,11.57,10.14
0.1,0.5,0.17,1.0,12.13,11.59,10.57
0.1,0.11,0.11,1.0,8.45,11.47,10.14
0.2,1.0,0.33,1.0,9.38,11.39,9.72
0.0,0.0,0.0,0.0,7.89,11.27,9.55
0.2,1.0,0.33,0.62,12.79,11.32,9.72
0.2,1.0,0.33,0.23,11.89,11.34,10.14
0.8,0.38,0.52,0.75,9.21,11.27,9.72
0.2,1.0,0.33,1.0,3.46,11.03,9.55
0.0,0.0,0.0,0.0,7.65,10.93,9.38
0.1,1.0,0.18,1.0,27.44,11.41,9.55
0.7,0.88,0.78,0.91,4.59,11.22,9.38
0.9,0.64,0.75,0.96,14.97,11.32,9.55
0.2,1.0,0.33,0.83,11.12,11.32,9.72
0.1,1.0,0.18,1.0,16.0,11.44,10.14
0.4,0.67,0.5,0.67,18.34,11.62,10.57
0.2,1.0,0.33,0.5,2.72,11.39,10.14
0.6,0.27,0.37,0.84,6.49,11.27,9.72
0.5,1.0,0.67,0.81,21.57,11.52,10.14
0.1,1.0,0.18,1.0,2.05,11.3,9.72
0.1,1.0,0.18,1.0,9.61,11.26,9.66
0.1,1.0,0.18,1.0,5.5,11.13,9.61
0.1,1.0,0.18,1.0,13.06,11.17,9.66
0.0,0.0,0.0,0.0,14.4,11.24,9.72
0.0,0.0,0.0,0.0,4.11,11.09,9.66
0.3,0.38,0.33,0.5,8.8,11.05,9.61
0.3,1.0,0.46,0.42,17.68,11.18,9.66
0.0,0.0,0.0,0.0,14.41,11.24,9.72
0.2,0.4,0.27,0.83,8.14,11.18,9.66
0.0,0.0,0.0,0.0,12.58,11.21,9.72
0.9,0.75,0.82,1.0,3.43,11.07,9.66
0.2,0.4,0.27,0.45,4.78,10.95,9.61
0.8,0.89,0.84,1.0,1.57,10.78,9.5
0.1,1.0,0.18,0.33,5.66,10.69,9.38
0.2,1.0,0.33,0.42,6.06,10.61,9.3
0.0,0.0,0.0,0.0,14.34,10.68,9.38
0.3,1.0,0.46,1.0,5.12,10.58,9.3
0.7,1.0,0.82,0.67,10.08,10.58,9.38
0.1,1.0,0.18,0.17,6.7,10.51,9.3
0.0,0.0,0.0,0.0,10.18,10.51,9.38
0.0,0.0,0.0,0.0,15.47,10.59,9.5
0.0,0.0,0.0,0.0,11.23,10.6,9.61
0.3,0.5,0.37,1.0,8.78,10.57,9.5
0.0,0.0,0.0,0.0,3.02,10.46,9.38
0.7,0.7,0.7,0.79,5.62,10.38,9.3
0.0,0.0,0.0,0.0,4.47,10.3,9.21
0.1,1.0,0.18,0.5,5.25,10.23,9.0
0.0,0.0,0.0,0.0,6.91,10.18,8.8
0.2,0.5,0.29,0.33,6.27,10.13,8.79
0.1,1.0,0.18,1.0,11.78,10.15,8.8
0.1,1.0,0.18,0.33,8.42,10.13,8.79
0.0,0.0,0.0,0.0,4.33,10.05,8.78
0.1,1.0,0.18,1.0,2.61,9.95,8.63
0.2,0.67,0.31,1.0,4.43,9.88,8.48
0.1,1.0,0.18,1.0,2.18,9.78,8.46
0.0,0.0,0.0,0.0,6.42,9.74,8.45
0.0,0.0,0.0,0.0,17.58,9.83,8.46
0.3,1.0,0.46,0.92,2.29,9.74,8.45
0.0,0.0,0.0,0.0,8.4,9.73,8.43
0.0,0.0,0.0,0.0,6.92,9.69,8.42
0.3,0.75,0.43,1.0,5.54,9.64,8.41
0.0,0.0,0.0,0.0,6.05,9.6,8.4
0.1,1.0,0.18,0.5,4.12,9.54,8.27
0.0,0.0,0.0,0.0,5.1,9.49,8.14
0.0,0.0,0.0,0.0,8.28,9.47,8.21
0.0,0.0,0.0,0.0,6.02,9.43,8.14
0.1,1.0,0.18,1.0,0.62,9.33,8.02
0.0,0.0,0.0,0.0,3.06,9.27,7.89
0.0,0.0,0.0,0.0,4.54,9.21,7.77
0.7,1.0,0.82,1.0,6.12,9.18,7.65
0.7,0.78,0.74,0.68,2.37,9.11,7.37
0.0,0.0,0.0,0.0,25.21,9.28,7.65
0.0,0.0,0.0,0.0,7.19,9.26,7.42
0.0,0.0,0.0,0.0,4.23,9.2,7.19
0.0,0.0,0.0,0.0,2.92,9.14,7.15
0.3,0.6,0.4,0.47,2.63,9.07,7.1
0.4,0.24,0.3,0.37,10.16,9.09,7.15
